countyFIPS,County Name,State,Population,Vaccinated,% with Bachelor's,Percent Democrat,Number of Cases,Case Percentage,Metro Status
51059,Fairfax County,Virginia,1147532,0.686,0.305572635,0.698946279,91190,0.079466194,Metro
51061,Fauquier County,Virginia,71222,0.536,0.119143324,0.402304116,6867,0.096416837,Metro
51069,Frederick County,Virginia,89313,0.439,0.105646232,0.353304725,11440,0.128088856,Metro
51085,Hanover County,Virginia,107766,0.548,0.129133923,0.356602364,11614,0.10777054,Metro
51087,Henrico County,Virginia,330818,0.516,0.189347783,0.636476806,34044,0.102908548,Metro
51095,James City County,Virginia,76523,0.509,0.234802029,0.514953045,6945,0.090757027,Metro
51107,Loudoun County,Virginia,413538,0.627,0.27330339,0.61536409,33816,0.081772413,Metro
51121,Montgomery County,Virginia,98535,0.426,0.220634048,0.515531674,11669,0.118424925,Metro
51153,Prince William County,Virginia,470335,0.627,0.163085786,0.626438243,54568,0.116019433,Metro
51161,Roanoke County,Virginia,94186,0.475,0.109485159,0.381243005,11691,0.124126728,Metro
51165,Rockingham County,Virginia,81948,0.407,0.105123075,0.288603319,9265,0.113059501,Metro
51177,Spotsylvania County,Virginia,136215,0.419,0.121328036,0.455501414,14829,0.108864662,Metro
51179,Stafford County,Virginia,152882,0.485,0.163849043,0.505431711,15767,0.103131827,Metro
51199,York County,Virginia,68280,0.518,0.194465155,0.455900173,5409,0.079217926,Metro
51510,City of Alexandria,Virginia,159428,0.561,0.311679882,0.802831241,14132,0.088641895,Metro
51550,City of Chesapeake,Virginia,244835,0.413,0.141423125,0.52220946,28528,0.116519289,Metro
51650,City of Hampton,Virginia,134510,0.54,0.117304282,0.701355063,14878,0.110608877,Metro
51680,City of Lynchburg,Virginia,82168,0.303,0.123976792,0.496328686,11701,0.142403369,Metro
51700,City of Newport News,Virginia,179225,0.474,0.086975224,0.653904412,20372,0.113667178,Metro
51710,City of Norfolk,Virginia,242742,0.472,0.111370773,0.716947965,24178,0.099603694,Metro
51740,City of Portsmouth,Virginia,94398,0.813,0.077142542,0.694181508,12505,0.132471027,Metro
51760,City of Richmond,Virginia,230436,0.406,0.155619981,0.829217607,23649,0.102627194,Metro
51770,City of Roanoke,Virginia,99143,0.393,0.100093886,0.617985827,11953,0.120563227,Metro
51800,City of Suffolk,Virginia,92108,0.451,0.116087308,0.577656017,10803,0.117286229,Metro
51810,City of Virginia Beach,Virginia,449974,0.517,0.130974223,0.515874864,49303,0.109568553,Metro
53005,Benton County,Washington,204390,0.492,0.119444293,0.375666049,30883,0.15109839,Metro
53007,Chelan County,Washington,77200,0.625,0.099251412,0.446797211,10949,0.141826425,Metro
53009,Clallam County,Washington,77331,0.619,0.122272022,0.501806593,4696,0.06072597,Non-metro
53011,Clark County,Washington,488241,0.57,0.109023748,0.509522409,40651,0.083260111,Metro
53015,Cowlitz County,Washington,110593,0.523,0.072600503,0.39711347,13164,0.119031042,Metro
53021,Franklin County,Washington,95222,0.44,0.047137796,0.411677571,20010,0.210140514,Metro
53025,Grant County,Washington,97733,0.491,0.062872478,0.313667728,15727,0.160918011,Non-metro
53027,Grays Harbor County,Washington,75061,0.522,0.045799074,0.451445072,8523,0.113547648,Non-metro
53029,Island County,Washington,85141,0.585,0.12795172,0.54173389,3852,0.045242598,Non-metro
53033,King County,Washington,2252782,0.708,0.206880863,0.749528916,160822,0.071388177,Metro
53035,Kitsap County,Washington,271473,0.576,0.120238649,0.568953565,16483,0.060716904,Metro
53041,Lewis County,Washington,80707,0.451,0.077542745,0.320466133,9816,0.121625138,Non-metro
53053,Pierce County,Washington,904980,0.555,0.092953874,0.537634594,90420,0.09991381,Metro
53057,Skagit County,Washington,129205,0.592,0.100732184,0.520981164,10725,0.083007624,Metro
53061,Snohomish County,Washington,822083,0.611,0.097921796,0.585073702,63613,0.077380265,Metro
53063,Spokane County,Washington,522798,0.536,0.112575932,0.459550486,70503,0.134857058,Metro
53067,Thurston County,Washington,290536,0.581,0.136266067,0.574589316,20007,0.068862379,Metro
53073,Whatcom County,Washington,229247,0.641,0.109274402,0.603520416,15911,0.069405488,Metro
53077,Yakima County,Washington,250873,0.53,0.069564015,0.448878817,42712,0.170253475,Metro
54003,Berkeley County,West Virginia,119171,0.306,0.063654794,0.3334821,18194,0.152671371,Metro
54011,Cabell County,West Virginia,91945,0.219,0.101043383,0.40133833,14706,0.159943444,Metro
54033,Harrison County,West Virginia,67256,0.209,0.084740139,0.302478254,10895,0.161992982,Non-metro
54039,Kanawha County,West Virginia,178124,0.315,0.099196945,0.417586693,24103,0.135315847,Metro
54061,Monongalia County,West Virginia,105612,0.157,0.193435422,0.482078342,12832,0.121501345,Metro
54081,Raleigh County,West Virginia,73361,0.215,0.064715581,0.241104332,11123,0.151620071,Metro
54107,Wood County,West Virginia,83518,0.394,0.083134842,0.281874,12833,0.153655499,Metro
55009,Brown County,Wisconsin,264542,0.571,0.116202937,0.454883798,45333,0.171364093,Metro
55025,Dane County,Wisconsin,546695,0.734,0.214757134,0.754616565,57264,0.104745791,Metro
55027,Dodge County,Wisconsin,87839,0.463,0.04738575,0.337682715,15915,0.181183757,Non-metro
55035,Eau Claire County,Wisconsin,104646,0.555,0.128772021,0.542599743,16071,0.15357491,Metro
55039,Fond du Lac County,Wisconsin,103403,0.495,0.078408239,0.359609439,17883,0.172944692,Metro
55055,Jefferson County,Wisconsin,84769,0.512,0.086264259,0.414848163,11708,0.138116528,Non-metro
55059,Kenosha County,Wisconsin,169561,0.525,0.087965179,0.475478375,23758,0.140114767,Metro
55063,La Crosse County,Wisconsin,118016,0.611,0.097871948,0.55750987,17147,0.145293858,Metro
55071,Manitowoc County,Wisconsin,78981,0.541,0.056237777,0.375158937,11565,0.146427622,Non-metro
55073,Marathon County,Wisconsin,135692,0.535,0.091569938,0.401401936,20847,0.153634702,Metro
55079,Milwaukee County,Wisconsin,945726,0.555,0.11419096,0.691263718,149833,0.158431723,Metro
55087,Outagamie County,Wisconsin,187885,0.569,0.098746776,0.441271223,30210,0.160789845,Metro
55089,Ozaukee County,Wisconsin,89221,0.642,0.198505507,0.431268907,12266,0.137478845,Metro
55097,Portage County,Wisconsin,70772,0.555,0.090868607,0.503115533,9415,0.133032838,Non-metro
55101,Racine County,Wisconsin,196311,0.533,0.095115178,0.471193319,31389,0.159894249,Metro
55105,Rock County,Wisconsin,163354,0.612,0.066130085,0.546602624,22106,0.135325734,Metro
55109,St. Croix County,Wisconsin,90687,0.436,0.11491389,0.408944222,12738,0.140461147,Metro
55117,Sheboygan County,Wisconsin,115340,0.548,0.075552611,0.410552787,17996,0.156025663,Metro
55127,Walworth County,Wisconsin,103868,0.481,0.111093233,0.395642361,15408,0.148342127,Non-metro
55131,Washington County,Wisconsin,136034,0.518,0.087459611,0.302600204,22252,0.163576753,Metro
55133,Waukesha County,Wisconsin,404198,0.625,0.150735021,0.387714742,61985,0.15335306,Metro
55139,Winnebago County,Wisconsin,171907,0.544,0.090292152,0.468563893,27126,0.157794622,Metro
55141,Wood County,Wisconsin,72999,0.549,0.076759958,0.396266163,10459,0.143275935,Non-metro
56021,Laramie County,Wyoming,99500,0.468,0.118702369,0.338290872,15395,0.154723618,Metro
56025,Natrona County,Wyoming,79858,0.38,0.084609487,0.242315778,14234,0.178241378,Metro
